locationid,latitude,longitude,stationname,parentcity,sourceurl
978,27.684247,106.926869,"Zhoushui  Bridge, Zunyi",china,http://aqicn.org/city/china/zunyi/zhoushuiqiao/
979,27.683412,106.926033,"Dingzikou, Zunyi",china,http://aqicn.org/city/china/zunyi/dingzikou/
980,27.722123,106.931212,Zunyi,zunyi,http://aqicn.org/city/zunyi/
981,24.885454,102.822434,"Chenggong New Area, Kunming",china,http://aqicn.org/city/china/kunming/chenggongxinqu/
982,24.959273,102.626245,"Xishan Forest Park, Kunming",china,http://aqicn.org/city/china/kunming/xishansenlingongyuan/
983,25.080649,102.729469,"Longquan Town, Kunming",china,http://aqicn.org/city/china/kunming/longquanzhen/
984,25.037539,102.723459,"Dongfeng East Road, Kunming",china,http://aqicn.org/city/china/kunming/dongfengdonglu/
985,25.063979,102.682372,"Jinding Mountain, Kunming",china,http://aqicn.org/city/china/kunming/jindingshan/
986,25.032798,102.63927,"Biji Square, Kunming",china,http://aqicn.org/city/china/kunming/bijiguangchang/
987,24.366326,102.578986,"Dongfeng Reservoir, Yuxi",china,http://aqicn.org/city/china/yuxi/dongfengshuiku/
988,24.357218,102.544593,"City Monitoring Station, Yuxi",china,http://aqicn.org/city/china/yuxi/shijiancezhan/
989,24.338187,102.497783,"Dayingjie town, Yuxi",china,http://aqicn.org/city/china/yuxi/dayingjiezhen/
990,24.348971,102.547796,Yuxi,yuxi,http://aqicn.org/city/yuxi/
991,25.531586,103.805406,"Tobacco Factory office, Qujing",%E6%9B%B2%E9%9D%96,http://aqicn.org/?city=China/%E6%9B%B2%E9%9D%96/%E7%83%9F%E5%8E%82%E5%8A%9E%E5%85%AC%E5%8C%BA
992,25.113618,103.543517,"Environmental Monitoring Station, Qujing",china,http://aqicn.org/city/china/qujing/huanjingjiancezhan/
993,25.487008,103.79819,Qujing,qujing,http://aqicn.org/city/qujing/
994,29.632276,91.131845,"Bakuo street, Lhasa",china,http://aqicn.org/city/china/lasa/bakuojie/
995,29.631992,91.084862,"District Monitoring Station, Lhasa",china,http://aqicn.org/city/china/lasa/qujiancezhan/
996,29.641683,91.127951,"Tibet University, Lhasa",china,http://aqicn.org/city/china/lasa/xicangdaxue/
997,29.662003,91.106568,"District radiation station, Lhasa",china,http://aqicn.org/city/china/lasa/qufushezhan/
998,29.631185,91.077354,"Lhasa Railway Station, Lhasa",china,http://aqicn.org/city/china/lasa/lasahuochezhan/
999,29.642818,91.142385,Lhasa,lhasa,http://aqicn.org/city/lhasa/
1000,34.27329,108.886585,"High Voltage Switchgear Factory, Xian",china,http://aqicn.org/city/china/xian/gaoyakaiguanchang/
1001,34.261443,108.997844,"Xingqing Compound, Xian",china,http://aqicn.org/city/china/xian/xingqingxiaoqu/
1002,34.255916,109.065098,"Fangzhicheng, Xian",china,http://aqicn.org/city/china/xian/fangzhicheng/
1003,34.230798,108.944647,"Xiaozhai, Xian",china,http://aqicn.org/city/china/xian/xiaozhai/
1004,34.269741,108.958692,"City People Stadium, Xian",china,http://aqicn.org/city/china/xian/shirenmintiyuchang/
1005,34.228672,108.887581,"Gaoxin West Area, Xian",china,http://aqicn.org/city/china/xian/gaoxinxiqu/
1006,34.34584,108.939644,"Economic Development Zone, Xian",china,http://aqicn.org/city/china/xian/jingkaiqu/
1007,34.656366,109.205094,"Yanliang District, Xian",china,http://aqicn.org/city/china/xian/yanliangqu/
1008,34.371737,109.22365,"Lintong District, Xian",china,http://aqicn.org/city/china/xian/lintongqu/
1009,34.196295,108.989804,"Qujiang Cultural Industry Group, Xian",china,http://aqicn.org/city/china/xian/qujiangwenhuachanyejituan/
1012,34.365861,107.195288,"Sanlu Hospital, Baoji",china,http://aqicn.org/city/china/baoji/sanluyiyuan/
1013,34.300388,107.081452,"Zhuyuangou, Baoji",china,http://aqicn.org/city/china/baoji/zhuyuangou/
1014,34.35344,107.147859,"Monitoring station, Baoji",china,http://aqicn.org/city/china/baoji/jiancezhan/
1015,34.372526,100.12016,"Technical Schools, Baoji",china,http://aqicn.org/city/china/baoji/jigongxuexiao/
1016,34.378968,107.470464,"Chencang EPA compound, Baoji",china,http://aqicn.org/city/china/baoji/chencangquhuanbaojujiashulou/
1017,34.345583,107.214307,"University of Arts, Baoji",%E5%AE%9D%E9%B8%A1,http://aqicn.org/?city=China/%E5%AE%9D%E9%B8%A1/%E6%96%87%E7%90%86%E5%AD%A6%E9%99%A2
1018,34.360056,107.249582,"Sandi Primary School, Baoji",%E5%AE%9D%E9%B8%A1,http://aqicn.org/?city=China/%E5%AE%9D%E9%B8%A1/%E4%B8%89%E8%BF%AA%E5%B0%8F%E5%AD%A6
1019,34.299146,107.19573,"Miaogou Village, Baoji",%E5%AE%9D%E9%B8%A1,http://aqicn.org/?city=China/%E5%AE%9D%E9%B8%A1/%E5%BA%99%E6%B2%9F%E6%9D%91
1020,34.36056,107.242666,Baoji,baoji,http://aqicn.org/city/baoji/
1021,35.06608,109.071853,"Wangyi District Government, Tongchuan",%E9%93%9C%E5%B7%9D,http://aqicn.org/?city=China/%E9%93%9C%E5%B7%9D/%E7%8E%8B%E7%9B%8A%E5%8C%BA%E6%94%BF%E5%BA%9C
1022,34.895671,108.94995,Tongchuan,tongchuan,http://aqicn.org/city/tongchuan/
1023,34.508625,109.534251,"Agriculture Science Institute, Weinan",china,http://aqicn.org/city/china/weinan/nongkesuo/
1024,34.494658,109.458646,"Gymnasium, Weinan",china,http://aqicn.org/city/china/weinan/tiyuguan/
1025,34.498979,109.505453,"Daily newspaper office, Weinan",china,http://aqicn.org/city/china/weinan/ribaoshe/
1026,34.498668,109.51493,Weinan,weinan,http://aqicn.org/city/weinan/
1027,35.833138,108.730663,"Normal university, Xianyang",china,http://aqicn.org/city/china/xianyang/shifanxueyuan/
1028,34.394439,108.7247,"Weather Monitoring Station, Xianyang",china,http://aqicn.org/city/china/xianyang/qixiangzhan/
1029,34.317319,108.745529,"TCM Medical College, Xianyang",%E5%92%B8%E9%98%B3,http://aqicn.org/?city=China/%E5%92%B8%E9%98%B3/%E4%B8%AD%E5%8C%BB%E5%AD%A6%E9%99%A2
1030,34.328121,108.713676,Xianyang,xianyang,http://aqicn.org/city/xianyang/
1031,36.576781,109.487649,"City Monitoring Station, Yanan",china,http://aqicn.org/city/china/yanan/shijiancezhan/
